,state_x,year,per 100k of its population
183,New Jersey,2017,0.0010765428419912857
230,Rhode Island,2017,0.0009112621983836031
201,New York,2017,0.000742528345648331
113,Massachusetts,2017,0.0004267475704193947
188,New Mexico,2016,0.009445002224298024
1,Alaska,2016,0.008181174843978178
43,DC,2016,0.007251158372550015
19,Arizona,2016,0.006292384452944291
285,West Virginia,2016,0.006132520421293003
212,Oklahoma,2016,0.005556463391872359
31,Colorado,2016,0.004676366027136086
154,Montana,2016,0.004611588922963407
7,Alabama,2016,0.004577771258323831
239,South Dakota,2016,0.004511276499520113
194,Nevada,2016,0.004187316039932823
64,Hawaii,2016,0.004122943424283175
100,Kentucky,2016,0.003994819163413848
13,Arkansas,2016,0.003984693464172956
106,Louisiana,2016,0.003864521055950321
171,Nebraska,2016,0.00356869014796809
290,Wyoming,2016,0.0034670998230045542
94,Kansas,2016,0.003403814995847346
233,South Carolina,2016,0.003321334199485193
218,Oregon,2016,0.003304025057726038
76,Idaho,2016,0.0032624546926604556
25,California,2016,0.003212081635535315
273,Washington,2016,0.003114746885934465
268,Vermont,2016,0.003110047474874704
142,Missouri,2016,0.003086964836058609
160,North Carolina,2016,0.0030653137904252626
244,Tennessee,2016,0.0030387044121988065
279,Wisconsin,2016,0.002884427113750607
148,Mississippi,2016,0.002701535383866228
250,Texas,2016,0.0026419168238807325
52,Florida,2016,0.0025536039779021327
256,Utah,2016,0.002495353962840437
136,Minnesota,2016,0.002453345258927811
58,Georgia,2016,0.0023338512616053087
118,Maryland,2016,0.002266390210230356
206,Ohio,2016,0.002203492909159818
82,Illinois,2016,0.0020309344118324114
262,Virginia,2016,0.001969554624612736
88,Indiana,2016,0.0019158420685906831
229,Rhode Island,2016,0.0018225243967672062
112,Massachusetts,2016,0.0017069902816775789
70,Iowa,2016,0.0015282967194193938
124,Maine,2016,0.001468041830383915
224,Pennsylvania,2016,0.0014612349742745736
176,New Hampshire,2016,0.0014518750603435572
166,North Dakota,2016,0.0012835421656436836
130,Michigan,2016,0.0011907914903261589
182,New Jersey,2016,0.0011841971261904144
37,Connecticut,2016,0.0011092795672922263
48,Delaware,2016,0.001010154068698558
200,New York,2016,0.0008415321250681084
187,New Mexico,2015,0.009445002224298024
289,Wyoming,2015,0.008667749557511385
211,Oklahoma,2015,0.007576995534371398
18,Arizona,2015,0.005872892156081338
42,DC,2015,0.005800926698040012
105,Louisiana,2015,0.005582085969706019
193,Nevada,2015,0.005475720975296768
0,Alaska,2015,0.005454116562652119
30,Colorado,2015,0.004849564768881868
24,California,2015,0.004603140611554546
284,West Virginia,2015,0.004460014851849456
170,Nebraska,2015,0.004078503026249245
75,Idaho,2015,0.003806197141437198
232,South Carolina,2015,0.0037120793994246276
153,Montana,2015,0.0036892711383707255
141,Missouri,2015,0.003411908503012146
249,Texas,2015,0.00339675020213237
6,Alabama,2015,0.0033835700605002227
238,South Dakota,2015,0.0033834573746400845
99,Kentucky,2015,0.0033290159695115403
217,Oregon,2015,0.003304025057726038
255,Utah,2015,0.003119192453550546
93,Kansas,2015,0.0030634334962626113
47,Delaware,2015,0.0030304622060956738
51,Florida,2015,0.002832178957309638
243,Tennessee,2015,0.0027493039919893963
147,Mississippi,2015,0.002701535383866228
87,Indiana,2015,0.002652704402664023
57,Georgia,2015,0.0025205593625337334
117,Maryland,2015,0.00242827522524681
205,Ohio,2015,0.002372992363710574
175,New Hampshire,2015,0.002177812590515336
159,North Carolina,2015,0.002107403230917368
135,Minnesota,2015,0.0021028673647952665
261,Virginia,2015,0.002085410779001721
272,Washington,2015,0.00207649792395631
278,Wisconsin,2015,0.0018663940147798045
81,Illinois,2015,0.00164037010186464
129,Michigan,2015,0.0015877219871015449
267,Vermont,2015,0.001555023737437352
69,Iowa,2015,0.0015282967194193938
181,New Jersey,2015,0.0015071599787877998
123,Maine,2015,0.001468041830383915
63,Hawaii,2015,0.0013743144747610581
12,Arkansas,2015,0.001328231154724319
223,Pennsylvania,2015,0.0013074207664561974
165,North Dakota,2015,0.0012835421656436836
111,Massachusetts,2015,0.001280242711258184
199,New York,2015,0.0008910340147779972
36,Connecticut,2015,0.0005546397836461132
